wrong,correct
য়সে পররিমাণ ঊুদ্রাস্ফীতি মটেনি,সে পরিমাণ মুদ্রাস্ফীতি ঘটেনি
সড পরোমাণ মুদ্রাভস্ফীতি ঘটেনখ,সে পরিমাণ মুদ্রাস্ফীতি ঘটেনি
তাঁঔরাই যমিল্ক ভিটারু ্পরাণ,তাঁরাই মিল্ক ভিটার প্রাণ
তৄঁরাই মিলখক ভধিটার প্এাণ,তাঁরাই মিল্ক ভিটার প্রাণ
তাঢ়রাই মিল্উক ভঋিটার পক্রাণ,তাঁরাই মিল্ক ভিটার প্রাণ
তাঘরাই মিল্ঁ ভিটারে প্রাকণ,তাঁরাই মিল্ক ভিটার প্রাণ
তাঁরাদ মিল৺ক ভুটার প্রতাণ,তাঁরাই মিল্ক ভিটার প্রাণ
তাষঁরাই মিলঢ্ক ভঠটার প্রানণ,তাঁরাই মিল্ক ভিটার প্রাণ
তাঁরনই মিল্ব ইভিটার প্রাঢ,তাঁরাই মিল্ক ভিটার প্রাণ
তৈাঁরাই মড়ল্ক ৈিটার প্রাণঋ,তাঁরাই মিল্ক ভিটার প্রাণ
তাঁরুাই মৃিল্ক ভিশটার প্রাণউ,তাঁরাই মিল্ক ভিটার প্রাণ
তাঁরাইে মিল্ঊক ভিটাি পঢ্রাণ,তাঁরাই মিল্ক ভিটার প্রাণ
়এখন সারসা দেশব পরীক৺্ষার মযৌসুম,এখন সারা দেশে পরীক্ষার মৌসুম
ৃএখন সঀরা দেশঌ পরীক্ষাোর মকৌসুম,এখন সারা দেশে পরীক্ষার মৌসুম
এঝখন সঅারা দেশেহ পরীকধ্ষার মৌসএুম,এখন সারা দেশে পরীক্ষার মৌসুম
এখেন সারৌ দেশেক পরীক্ষা৳ মৌসূুম,এখন সারা দেশে পরীক্ষার মৌসুম
এখটন সারঊা দেশেট পঢ়ীক্ষার মৌসুঁ,এখন সারা দেশে পরীক্ষার মৌসুম
এখনঋ অসারা দেিশে পদরীক্ষার মগসুম,এখন সারা দেশে পরীক্ষার মৌসুম
এখনছ সারযা দেশে৺ পরীক্ুষার মৌসেম,এখন সারা দেশে পরীক্ষার মৌসুম
এখয় সারভ য়দেশে পরীক্ৃষার মংৌসুম,এখন সারা দেশে পরীক্ষার মৌসুম
এখনঊ সথারা ঝদেশে পরূীক্ষার মৌৎুম,এখন সারা দেশে পরীক্ষার মৌসুম
এখন্ সাছরা ঔদেশে পরংীক্ষার মৌসুমআ,এখন সারা দেশে পরীক্ষার মৌসুম
কিন্তুা ঊছে পর্বতূ্রমাণ প্ংতিকূলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কিনওতু আছড পর্বতপ্রড়াণ প্রতককূলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কণন্তু ঁআছে পর্বতপ্তরমাণ প্রতিকূলতঈা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কিনভ্তু ৃআছে পর্বতপ্রমশণ প্রতিদকূলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
লকিন্তু আছেঽ পর্বতপ়্রমাণ প্রতিকূলতাপ,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কিনফ্তু আছমে পর্ীতপ্রমাণ প্রতিকূলুতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
থিন্তু আউে পর্বতপ্রমাউ এপ্রতিকূলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কিনঌ্তু আছাে পর্বতপ্রমাণৃ প্রতিকূফলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কিন৺্তু আুে পর্যতপ্রমাণ পধ্রতিকূলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
কিএ্তু আছঢ পর্বতপ্রমাঅ প্রতোিকূলতা,কিন্তু আছে পর্বতপ্রমাণ প্রতিকূলতা
বিকল্ড তাঅলিকা হতেঙ ডারে,বিকল্প তালিকা হতে পারে
বিনল্প ঢ়তালিকা হতল োপারে,বিকল্প তালিকা হতে পারে
বিক৳ল্প ংতালিকা হরতে ঀারে,বিকল্প তালিকা হতে পারে
বিথকল্প যালিকা হতেঞ আপারে,বিকল্প তালিকা হতে পারে
বিকল্ৄপ তালিঔা হতভে পারেঃ,বিকল্প তালিকা হতে পারে
বিকৎ্প তালিকঽা হতউ ছপারে,বিকল্প তালিকা হতে পারে
বিকলধপ তালিকঅ হতহে পাদরে,বিকল্প তালিকা হতে পারে
বিকলউপ তালিকাউ হতেহ প৺রে,বিকল্প তালিকা হতে পারে
বচকল্প তাঢ়িকা হতণ পারঅ,বিকল্প তালিকা হতে পারে
বিকল্ৃপ তাসলিকা হচতে ়ারে,বিকল্প তালিকা হতে পারে
৺্রক্টর অবশঙ্য ডতুন ধিছু বলফেননি,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রকৄ্টর অবশগয নঐতুন ীকিছু বলেরনি,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রকণটর অবশ্ছয নখতুন তকিছু বঐলেননি,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রক্টরড অঝবশ্য নতঐুন কমিছু বলেখননি,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রক্টকর অবশ্ঊয নতুমন ক৳িছু বলেথনি,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রক্টর্ অবশধ্য ন্ুন কিছুফ নবলেননি,প্রক্টর অবশ্য নতুন কিছু বলেননি
পঠরক্টর অঢ়শ্য নত্ন োকিছু বথলেননি,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রক্টপ অবশ্যঝ ঈতুন ঔিছু বলেননঠ,প্রক্টর অবশ্য নতুন কিছু বলেননি
প্রক্টযর অবশ্যী ৳তুন কিভছু বলেননঅি,প্রক্টর অবশ্য নতুন কিছু বলেননি
পঝরক্টর অৎবশ্য ভতুন উিছু বলেননহি,প্রক্টর অবশ্য নতুন কিছু বলেননি
সিো্ধান্ত নঈিতে যথতেষ্ট সময়আ লেগেছেণ,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিদ্ধাশন্ত নিঢে লথেষ্ট ঢসময় লেগণছে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সঊদ্ধান্ত নৈতে যথেষ্ফট সমঀ লেগেছেৈ,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সণিদ্ধান্ত নঢ়তে যথেৎষ্ট িসময় লপেগেছে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিদ্আধান্ত নঌতে যথেভষ্ট সয়য় লেগেছীে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিঐদ্ধান্ত গিতে যথেষঞট সঈময় লেগে৳ে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিদ্রধান্ত নিূে ডথেষ্ট সমইয় লেগে৺ে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিদ্ধাঘ্ত নিতেঐ যধথেষ্ট মসয় লেগঋেছে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিদ্ধান্ে নিতৃ যথেৄষ্ট ়সময় লকগেছে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সিদ্ধাা্ত নেিতে যনথেষ্ট সচয় লেগৌেছে,সিদ্ধান্ত নিতে যথেষ্ট সময় লেগেছে
সমঐাবদ্ধ করেছিি তূদের শঌ্তের প্রতনিপালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
স়য়াবদ্ধ করেঁিল ইাদের শর্তে৺ প্রতিশপালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
ৌসময়াবদ্ধ ক৳েছিল ঝাদের শর্তের৳ প্রধিপালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
সময়াবদূ্ধ করষছিল তাএদের শর্ইতের প্ঢ়তিপালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
ণসময়াবদ্ধ ংরেছিল তাূদের শর্তঅের প্রতিপালনছ,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
সময়াবঞ্ধ করেইিল তাদেযর শর্তীের য়প্রতিপালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
সময়াবদ্ঞ ঔরেছিল তাণের শর্ত়র প্রতিডালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
সময়াবধ্ধ করেছিলঅ পাদের শরদ্তের প্রতিপালড়ন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
সীয়াবদ্ধ করঽেছিল তাদেড শর্মের প্রতিপানন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
সময়াবদ্ম করেকিল তাদেরঢ ়র্তের প্রঞিপালন,সময়াবদ্ধ করেছিল তাদের শর্তের প্রতিপালন
ৌআর এখনোঐ ুা নেৃই,আর এখনো তা নেই
ৌর এখআো তাঔ নদই,আর এখনো তা নেই
আওর এখনে্া তাউ নঞেই,আর এখনো তা নেই
আঅ এখডো তঋা নৈেই,আর এখনো তা নেই
আরঢ এদখনো তহা ীেই,আর এখনো তা নেই
আঀ এবনো উতা ন৺েই,আর এখনো তা নেই
আরল এখষো তঁ নৎেই,আর এখনো তা নেই
ড়আর এখঊনো ঢ়া ঐেই,আর এখনো তা নেই
আৈর এখনূো আা নেছ,আর এখনো তা নেই
আা ঔখনো তাড নৈই,আর এখনো তা নেই
প্রচলিতভাপে সেহ্্থরি ঁদেশীয় উচঋ্চারণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
প্রচলিতভাফবে সেহ্্রিু এদেংীয় ঀউচ্চারণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
প্রচ্িতভাবে সেহ্জ্রি এদেশকয় উচ্চারঃ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
খ্রচলিতভাবে সেহ্্ঽরি এদাশীয় উচ্চয়রণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
পঁ্রচলিতভাবে সেহএ্রি এদুেশীয় উচ্চাহণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
প্রচলিতভাবঔ সেহফ্রি এদঙেশীয় উচ্চারঞ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
প্রচলিঘভাবে সেহ্্রঊি এদঋশীয় উচ্চাছণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
প্রলিতভাবে সেহ্্রবি এদেশঢীয় উচ্চালরণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
প্রচফিতভাবে সেয়্্রি এেদশীয় উচৄচারণ,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
িপ্রচলিতভাবে সেহ্্রৌ এদথশীয় উচ্চারড,প্রচলিতভাবে সেহ্্রি এদেশীয় উচ্চারণ
এতেী সু়্নত আদাআ হয়ম যাআে,এতে সুন্নত আদায় হয়ে যাবে
এতব সুন্নব আদাওয় হয়েহ যাবমে,এতে সুন্নত আদায় হয়ে যাবে
এঢে সুন্নঞত আদফয় ঐয়ে যাবেঽ,এতে সুন্নত আদায় হয়ে যাবে
এতট সুনইনত আঅদায় হয়ঞে যাহবে,এতে সুন্নত আদায় হয়ে যাবে
এতযে াসুন্নত আঈদায় হয়েয যখাবে,এতে সুন্নত আদায় হয়ে যাবে
এত্ে টসুন্নত আঘায় হ৺য়ে োাবে,এতে সুন্নত আদায় হয়ে যাবে
এতেড সুফ্নত আদায়হ হয়মে যাঐবে,এতে সুন্নত আদায় হয়ে যাবে
এতংে সুন্ইনত আৈদায় হয়েং যিাবে,এতে সুন্নত আদায় হয়ে যাবে
এতেৎ সৄুন্নত আদাময় ময়ে যাবঘে,এতে সুন্নত আদায় হয়ে যাবে
এতষ সুন্ঝত আদণায় অয়ে যাঔবে,এতে সুন্নত আদায় হয়ে যাবে
যদসও ুা ঘএক লোকমপ হুয়,যদিও তা এক লোকমা হয়
যউিও তাঔ একয় ৈোকমা হয়ম,যদিও তা এক লোকমা হয়
যঢ়দিও তাউ এৌ লোাকমা জহয়,যদিও তা এক লোকমা হয়
যদঊিও তঋা থক লোকৌা হলয়,যদিও তা এক লোকমা হয়
যদিওত তহা এইক লোকমো ঋহয়,যদিও তা এক লোকমা হয়
হযদিও উতা এঊক লোকমখ ইয়,যদিও তা এক লোকমা হয়
যদিশ তঁ এগক লোকমখা ঽহয়,যদিও তা এক লোকমা হয়
যদিওৃ ঢ়া এঋ লোকমাঞ েয়,যদিও তা এক লোকমা হয়
যদডিও আা একছ লোগকমা নহয়,যদিও তা এক লোকমা হয়
ঽদিও তাড ঢ়এক োকমা হয়গ,যদিও তা এক লোকমা হয়
মোটটকথা সঋহরি দেরঐিতে খোওয়া উত৳্তম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
বোটকথা সেঊরি দেরিতঙ খাওখা িউত্তম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মেখটকথা সেহরিঔ দেরিৈতে খাওলা উংত্তম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মেনটকথা সেঽরি দেরিতদ খকাওয়া ঔত্তম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মোটকথব ধসেহরি দঊরিতে খাওয়হা উত্তঙম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মোটকথঁা সেহরনি দেরিতড়ে খাওয়উা ঙউত্তম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মোটখকথা সংহরি দেরিতনে খাও়া উত্নম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মোটঈকথা সেহঅি দেরিতঝ খাওয়় উধ্তম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
মোটকথঘ সেহউরি দেরিঅতে খাওওয়া উত্শম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
োমোটকথা ঐেহরি ঐদেরিতে খাওয়াৃ উত্অতম,মোটকথা সেহরি দেরিতে খাওয়া উত্তম
আগেভৌগে থেয়ে নেওচয়া সডন্নতের বরখেলধফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আ৺েভাগে খেবে ঝনেওয়া সুন্নতেপর বরখেযলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আগেভগগে খলয়ে নেসয়া স৳ুন্নতের বরখেলাঢফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
গআগেভাগে তেয়ে নোওয়া সুন্ৈনতের তরখেলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আগেণাগে খেয়ঈ নেওয়ঋ সুন্নোতের ডবরখেলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আগেনাগে িখেয়ে নেওয়াূ সেন্নতের বরঈখেলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
ৃগেভাগে মখেয়ে নেওতা সুনম্নতের বরখেঠাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আজেভাগে খেয়ঀে নেওঢ়া সুন্নতঽের বরলেলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আগেভঌগে খেৃে নেওৎা সুন্িনতের বইখেলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
আগেভিগে খেগে নেযওয়া সুন্নতেরথ বরখেোলাফ,আগেভাগে খেয়ে নেওয়া সুন্নতের বরখেলাফ
তফিনি ক্ষতিৎূরণের আশ্বাজ দিয়ঔ গেছেনফ,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
তিয়নি ক্ষতিপসরণের আধশ্বাস ফদিয়ে ইেছেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
ষিনি ক্ষভিপূরণের আশ্বাসল দিউয়ে গেছঘেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
তিৈনি ক্ষতিপেূরণের আশযবাস ণদিয়ে গেছেফন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
তইিনি কজষতিপূরণের আত্বাস দিঘে গেভছেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
তিষি ক্ষতিপূরঊণের আশ্বাধ দিয়েঘ গেছেনপ,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
ঝিনি ক্োষতিপূরণের আশ্বাসঙ দটিয়ে গভছেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
ইতিনি ক্ষতিপূরণমের ঁশ্বাস দিআে গলেছেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
তয়নি ক্ষজতিপূরণের আৎশ্বাস ঐদিয়ে গেফছেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
তিনঌ ক্ষতিপূফরণের আঞশ্বাস দনিয়ে গছেেন,তিনি ক্ষতিপূরণের আশ্বাস দিয়ে গেছেন
়এখন সঞেই কঠগজ পুড়ত ছাইে,এখন সেই কাগজ পুড়ে ছাই
ৃএখন সেঢই কাগপ পুড়েয় ছাইগ,এখন সেই কাগজ পুড়ে ছাই
এঝখন সঽই কাগন পুড়ৌ ছাড,এখন সেই কাগজ পুড়ে ছাই
এখেন ীেই কাতগজ এপুড়ে ছঀাই,এখন সেই কাগজ পুড়ে ছাই
এখটন সেিই কায়জ পুংে ছাইৄ,এখন সেই কাগজ পুড়ে ছাই
এখনঋ সেগ কাঋজ পুিে ছাশই,এখন সেই কাগজ পুড়ে ছাই
এখনছ ঐেই কাএজ পুড়অে ছাঢ়ই,এখন সেই কাগজ পুড়ে ছাই
এখয় সেইল কারজ োুড়ে োছাই,এখন সেই কাগজ পুড়ে ছাই
এখনঊ ধেই ঠকাগজ পুচড়ে ছাইয়,এখন সেই কাগজ পুড়ে ছাই
এখন্ ঁেই কাগজআ পআড়ে এাই,এখন সেই কাগজ পুড়ে ছাই
ৄএটা দমেনে নঈিতে কং্ট হঽ্ছে,এটা মেনে নিতে কষ্ট হচ্ছে
এাটা উেনে নিঢে কষট্ হচকছে,এটা মেনে নিতে কষ্ট হচ্ছে
জএটা মঃেনে নৈতে কষ্ইট হচগ্ছে,এটা মেনে নিতে কষ্ট হচ্ছে
এৃটা মেনওে নঢ়তে কষ্ঞট হাচ্ছে,এটা মেনে নিতে কষ্ট হচ্ছে
এটচ মেনআ নঌতে কোষ্ট জহচ্ছে,এটা মেনে নিতে কষ্ট হচ্ছে
এটাভ মেেনে গিতে কষ্ঠট গহচ্ছে,এটা মেনে নিতে কষ্ট হচ্ছে
নএটা মকনে নিূে খকষ্ট হচ্ঁে,এটা মেনে নিতে কষ্ট হচ্ছে
ুটা মঐেনে নিতেঐ কঞষ্ট হচু্ছে,এটা মেনে নিতে কষ্ট হচ্ছে
য়টা ূমেনে নিতৃ কএষ্ট হচ্িছে,এটা মেনে নিতে কষ্ট হচ্ছে
এটাু মেনেঙ নেিতে কষ্ঊট হচ্শছে,এটা মেনে নিতে কষ্ট হচ্ছে
এবটরো তাঔ ব্খযতিক্রম হুয় ঐি,এবারো তার ব্যতিক্রম হয় নি
এফারো তাউ জ্যতিক্রম হয়ম নঝি,এবারো তার ব্যতিক্রম হয় নি
এবারগো তারঀ বু্যতিক্রম জহয় নিঅ,এবারো তার ব্যতিক্রম হয় নি
এবারোঀ অতার ব্যতিক৺রম হলয় নিৌ,এবারো তার ব্যতিক্রম হয় নি
ঠবারো তৈার ব্যতিক্ৃরম ঋহয় নআি,এবারো তার ব্যতিক্রম হয় নি
তবারো তড়ার ব্যতিক্ারম ইয় নঠ,এবারো তার ব্যতিক্রম হয় নি
এবাপরো তূর ব্যৌিক্রম ঽহয় ়ি,এবারো তার ব্যতিক্রম হয় নি
এবারোৃ তহার ব্যতিক্রঅ েয় গি,এবারো তার ব্যতিক্রম হয় নি
এঌবারো দতার ব্যতিক্রড়ম নহয় নঊ,এবারো তার ব্যতিক্রম হয় নি
এসারো তারব ব্যতিকমরম হয়গ য়নি,এবারো তার ব্যতিক্রম হয় নি
অনুষৃ্ঠানে সভঞাপতিত্ব কর৺েন  আনিৄুজ্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
অনুষব্ঠানে সভাপতিসত্ব ৈরেন ভড আনিসুজ্জাষমান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
অনুষ্ঠানেহ সভাপতকিত্ব বকরেন য়ড আফিসুজ্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
অনুষ্ঠানড সভাপতণিত্ব ঀকরেন ঝড জআনিসুজ্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
অনোুষ্ঠানে সভরপতিত্ব করেনৎ য় আনিসুঢ়্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
অনুষ্ঢঠানে স্ভাপতিত্ব করৈন ঌড আঽিসুজ্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
অনুষ্ঠাইে সভাপতিত্বঃ ঊরেন ংড আঊিসুজ্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
ৈঅনুষ্ঠানে সভাপধিত্ব ঢকরেন ৳ড আনঙসুজ্জামান,অনুষ্ঠানে সভাপতিত্ব করেন ড আনিসুজ্জামান
